source,target,weight
P53,BRCA2,0.834
BRCA2,MAPK3,0.98
P53,MAPK1,0.579
CDK4,IL6,0.213
MTOR,JUN,0.694
EGFR,VEGFA,0.952
MAPK3,VEGFA,0.249
CDK4,VEGFA,0.575
AKT1,PIK3CA,0.646
P53,MAPK3,0.968
JUN,TNF,0.936
P53,CDK4,0.78
MAPK1,CDK2,0.721
BRCA1,VEGFA,0.742
MAPK1,CDK4,0.459
BRCA1,MYC,0.705
JUN,VEGFA,0.436
BRCA1,PIK3CA,0.91
P53,KRAS,0.506
NRAS,PIK3CA,0.323
IL6,VEGFA,0.158
PTEN,MAPK1,0.119
MYC,JUN,0.599
EGFR,MAPK1,0.63
NRAS,CDK2,0.106
NRAS,PTEN,0.737
PIK3CA,PTEN,0.153
BRCA1,BRCA2,0.161
P53,AKT1,0.128
PTEN,JUN,0.397
KRAS,PTEN,0.563
BRCA2,CDK4,0.351
EGFR,CDK2,0.537
BRCA2,MYC,0.585
KRAS,STAT3,0.751
BRCA1,IL6,0.894
BRCA2,JUN,0.619
KRAS,MYC,0.319
AKT1,CDK2,0.526
NRAS,CDK4,0.466
KRAS,IL6,0.185
PIK3CA,MAPK1,0.693
BRCA2,VEGFA,0.419
MYC,MAPK1,0.47
NRAS,TNF,0.877
PTEN,CDK2,0.149
AKT1,JUN,0.688
KRAS,MAPK1,0.682
P53,EGFR,0.155
CDK2,VEGFA,0.755
