disease,gene
Parkinson disease,LRRK2
Parkinson disease,SNCA
Parkinson disease,PINK1
Parkinson disease,PRKN
Parkinson disease,ATP13A2
Parkinson disease,DNAJC6
Parkinson disease,PARK7
Parkinson disease,FBXO7
Parkinson disease,VPS35
Parkinson disease,VPS13C
Alzheimer disease,APP
Alzheimer disease,PSEN1
Alzheimer disease,PSEN2
Alzheimer disease,APOE
Alzheimer disease,GRIN1
Alzheimer disease,SORL1
Alzheimer disease,ADAM10
Alzheimer disease,CDK5
Alzheimer disease,GRIN3B
Alzheimer disease,ACE
Breast cancer,BRCA2
Breast cancer,BRCA1
Breast cancer,PIK3CA
Breast cancer,PALB2
Breast cancer,CHEK2
Breast cancer,TP53
Breast cancer,ESR1
Breast cancer,ATM
Breast cancer,AKT1
Breast cancer,ERBB2
Type 2 diabetes mellitus,KCNJ11
Type 2 diabetes mellitus,ABCC8
Type 2 diabetes mellitus,GCK
Type 2 diabetes mellitus,PPARG
Type 2 diabetes mellitus,INSR
Type 2 diabetes mellitus,HNF1B
Type 2 diabetes mellitus,HNF1A
Type 2 diabetes mellitus,HNF4A
Type 2 diabetes mellitus,WFS1
Type 2 diabetes mellitus,GLP1R
Asthma,IL4R
Asthma,FLG
Asthma,ADORA1
Asthma,IL33
Asthma,TSLP
Asthma,PDE4D
Asthma,IL13
Asthma,IL5
Asthma,ADRB2
Asthma,CHRM2
