drug_name,gene_symbol,affinity_nM,source
Imatinib,ABL1,1.0,ChEMBL/Druker2001
Nilotinib,ABL1,0.6,ChEMBL/Weisberg2005
Dasatinib,SRC,0.5,ChEMBL/Shah2004
Gefitinib,EGFR,2.0,ChEMBL/Wakeling2002
Erlotinib,EGFR,0.7,ChEMBL/Moyer1997
Lapatinib,ERBB2,9.2,ChEMBL/Rusnak2001
Sorafenib,RAF1,6.0,ChEMBL/Wilhelm2004
Sunitinib,KIT,1.0,ChEMBL/Mendel2003
Pazopanib,PDGFRA,84.0,ChEMBL/Kumar2007
Vemurafenib,BRAF,31.0,ChEMBL/Bollag2010
Crizotinib,ALK,0.9,ChEMBL/Christensen2007
Osimertinib,EGFR,1.5,ChEMBL/Cross2014
Axitinib,FLT1,1.2,ChEMBL/Hu-Lowe2008
Ponatinib,FGFR1,22.0,ChEMBL/OHare2009
Regorafenib,KIT,7.0,ChEMBL/Wilhelm2011
Metformin,ACACB,3600.0,DrugBank/estimated_indirect
Atorvastatin,HMGCR,8.2,ChEMBL/Istvan2001
Rosuvastatin,HMGCR,0.2,ChEMBL/McTaggart2001
Simvastatin,HMGCR,11.2,ChEMBL/Endo1988
Pioglitazone,PPARG,49.0,ChEMBL/Lehmann1995
Losartan,AGTR1,4.6,ChEMBL/Timmermans1993
Valsartan,AGTR1,1.9,ChEMBL/Criscione1995
Verapamil,CACNA1C,270.0,DrugBank/Ratz1988
Amlodipine,CACNA1C,0.9,ChEMBL/Burges1987
Propranolol,ADRB1,0.3,ChEMBL/Black1964
Fluoxetine,SLC6A4,0.8,ChEMBL/Wong1974
Sertraline,SLC6A4,0.3,ChEMBL/Koe1983
Paroxetine,SLC6A4,0.07,ChEMBL/Hyttel1982
Haloperidol,DRD2,0.7,ChEMBL/Seeman1980
Risperidone,DRD2,3.3,ChEMBL/Leysen1994
Olanzapine,HTR2A,1.9,ChEMBL/Bymaster1996
Levodopa,DDC,2200.0,DrugBank/substrate_Km_estimate
Selegiline,MAOB,0.4,ChEMBL/Knoll1972
Donepezil,ACHE,6.7,ChEMBL/Sugimoto1995
Memantine,GRIN1,500.0,ChEMBL/Parsons1993
Galantamine,ACHE,350.0,ChEMBL/Harvey1995
Riluzole,SLC1A2,1800.0,DrugBank/Urbani1998_indirect
Celecoxib,PTGS2,40.0,ChEMBL/Penning1997
Ibuprofen,PTGS1,4700.0,ChEMBL/Mitchell1994
Diclofenac,PTGS2,27.0,ChEMBL/Mancy1999
Allopurinol,XDH,670.0,ChEMBL/Massey1970
Methotrexate,DHFR,3.4,ChEMBL/Blakley1995
Tamoxifen,ESR1,160.0,ChEMBL/Jordan1977
Anastrozole,CYP19A1,15.0,ChEMBL/Plourde1994
Letrozole,CYP19A1,11.5,ChEMBL/Bhatnagar1993
Bexarotene,RXRA,33.0,ChEMBL/Boehm1994
Etoposide,TOP2A,200.0,DrugBank/Chen1984_Topo2_complex
Cisplatin,ERCC1,4000.0,DrugBank/adduct_indirect_estimate
Cyclophosphamide,ALDH1A1,1200.0,DrugBank/Sladek1988_estimated
Bortezomib,PSMB5,0.6,ChEMBL/Adams2003
