drug_name,target_gene
Imatinib,ABL1
Nilotinib,ABL1
Dasatinib,SRC
Gefitinib,EGFR
Erlotinib,EGFR
Lapatinib,ERBB2
Sorafenib,RAF1
Sunitinib,KIT
Pazopanib,PDGFRA
Vemurafenib,BRAF
Crizotinib,ALK
Osimertinib,EGFR
Axitinib,FLT1
Ponatinib,FGFR1
Regorafenib,KIT
Metformin,ACACB
Atorvastatin,HMGCR
Rosuvastatin,HMGCR
Simvastatin,HMGCR
Pioglitazone,PPARG
Losartan,AGTR1
Valsartan,AGTR1
Verapamil,CACNA1C
Amlodipine,CACNA1C
Propranolol,ADRB1
Fluoxetine,SLC6A4
Sertraline,SLC6A4
Paroxetine,SLC6A4
Haloperidol,DRD2
Risperidone,DRD2
Olanzapine,HTR2A
Levodopa,DDC
Selegiline,MAOB
Donepezil,ACHE
Memantine,GRIN1
Galantamine,ACHE
Riluzole,SLC1A2
Celecoxib,PTGS2
Ibuprofen,PTGS1
Diclofenac,PTGS2
Allopurinol,XDH
Methotrexate,DHFR
Tamoxifen,ESR1
Anastrozole,CYP19A1
Letrozole,CYP19A1
Bexarotene,RXRA
Etoposide,TOP2A
Cisplatin,ERCC1
Cyclophosphamide,ALDH1A1
Bortezomib,PSMB5
