drug_name,gene_symbol,action
(+)-2-(4-biphenyl)propionic acid,PTGS1,inhibitor
(+)-Rutamarin alcohol,GAPDHS,unknown
(1R)-menthyl hexyl phosphonate group,BCHE,inhibitor
"(1R,2S)-2-Phenylcyclopropanaminium",PRSS1,unknown
(1S)-menthyl hexyl phosphonate group,BCHE,inhibitor
(2R)-2-benzyl-3-nitropropanoic acid,CPA1,unknown
(2S)-2-(1H-indol-3-yl)hexanoic acid,SKP1,unknown
(2S)-2-(1H-indol-3-yl)pentanoic acid,SKP1,unknown
(2s)-Pyrrolidin-2-Ylmethylamine,DPP4,inhibitor
(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,PTGS1,inhibitor
(3r)-1-Acetyl-3-Methylpiperidine,PPIA,inhibitor
(4-fluorophenyl)(pyridin-4-yl)methanone,LTA4H,inhibitor
"(4R)-limonene 1α,2α-epoxide",LCN9,unknown
"(4R,5R)-1,2-dithiane-4,5-diol",NFKB1,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",NFKB2,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",REL,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",RELA,inhibitor
"(4R,5R)-1,2-dithiane-4,5-diol",RELB,inhibitor
(4e)-4-Aminohex-4-Enoic Acid,ABAT,inhibitor
(4s)-5-Fluoro-L-Leucine,UBB,unknown
(6R)-Folinic acid,FTCD,unknown
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,CLPS,unknown
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,PNLIP,inhibitor
(Hydroxyethyloxy)Tri(Ethyloxy)Octane,RHO,unknown
(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,LGALS9,unknown
(R)-3-hydroxydecanoyl-CoA,HSD17B4,unknown
(R)-3-hydroxytetradecanoic acid,LY96,unknown
(R)-3-hydroxytetradecanoic acid,TLR4,inhibitor
(R)-Atenolol,LTF,unknown
(R)-Atenolol,PLA2G2E,unknown
(R)-Bicalutamide,AR,unknown
(R)-N-(1-Methyl-Hexyl)-Formamide,ADH1C,unknown
(R)-N-methyl-N-2-propynyl-1-indanamine,MAOB,inhibitor
(R)-Propylene glycol,LYZ,unknown
(R)-Rolipram,PDE4A,inhibitor
(R)-Rolipram,PDE4B,inhibitor
(R)-Rolipram,PDE4D,unknown
(R)-minalrestat,AKR1B1,unknown
(R)-tacrine(10)-hupyridone,ACHE,inhibitor
"(R,R)-2,3-Butanediol",UBE2D2,unknown
(Rp)-cAMPS,PRKAR1A,unknown
(S)-3-phenyllactic acid,CPA1,unknown
(S)-3-phenyllactic acid,RPL10L,unknown
(S)-3-phenyllactic acid,RPL11,unknown
(S)-3-phenyllactic acid,RPL13A,unknown
(S)-3-phenyllactic acid,RPL15,unknown
(S)-3-phenyllactic acid,RPL19,unknown
(S)-3-phenyllactic acid,RPL23,unknown
(S)-3-phenyllactic acid,RPL23A,unknown
(S)-3-phenyllactic acid,RPL26L1,unknown
(S)-3-phenyllactic acid,RPL3,unknown
(S)-3-phenyllactic acid,RPL37,unknown
(S)-3-phenyllactic acid,RPL8,unknown
(S)-3-phenyllactic acid,RSL24D1,unknown
(S)-3-phenyllactic acid,SNU13,unknown
(S)-4-hydroxymandelonitrile,LCTL,unknown
(S)-AMPA,GRIA1,inhibitor
(S)-AMPA,GRIA2,unknown
(S)-Aspartimide,LYZ,unknown
(S)-DES-ME-AMPA,GRIA2,unknown
(S)-Hmg-Coa,HMGCR,unknown
(S)-Indapamide,CA2,unknown
(S)-Rolipram,PDE4A,inhibitor
(S)-Rolipram,PDE4B,inhibitor
(S)-Rolipram,PDE4D,unknown
(S)-alpha-methyl-4-carboxyphenylglycine,GRM1,antagonist
(S)-alpha-methyl-4-carboxyphenylglycine,GRM2,antagonist
(S)-alpha-methyl-4-carboxyphenylglycine,GRM3,antagonist
(S)-alpha-methyl-4-carboxyphenylglycine,GRM5,antagonist
(S)-blebbistatin,MYH14,unknown
(S)-camphor,TRPA1,inhibitor
(S)-camphor,TRPM8,activator
(S)-camphor,TRPV1,agonist;activator
(S)-camphor,TRPV3,agonist;activator
(S)-carazolol,ADRB2,unknown
(S)-econazole,CYP51A1,unknown
(S)-famoxadone,CYC1,unknown
(S)-famoxadone,MT-CYB,unknown
(S)-famoxadone,UQCR10,unknown
(S)-famoxadone,UQCR11,unknown
(S)-famoxadone,UQCRB,unknown
(S)-famoxadone,UQCRC1,unknown
(S)-famoxadone,UQCRC2,unknown
(S)-famoxadone,UQCRFS1,unknown
(S)-famoxadone,UQCRH,unknown
(S)-famoxadone,UQCRQ,unknown
(S)-tacrine(10)-hupyridone,ACHE,inhibitor
(S)-wiskostatin,WAS,unknown
"(S,R)-fidarestat",AKR1B1,inhibitor
(South)-Methanocarba-Thymidine,TK1,inhibitor
"1,2,4-Triazole",CA2,inhibitor
"1,2,4-Triazole-Carboxamidine",NOS3,inhibitor
"1,2-Benzodiazepine",GABRG3,ligand
"1,2-Benzodiazepine",GABRQ,positive allosteric modulator
"1,2-Benzodiazepine",TSPO,agonist
"1,2-Dihydroxybenzene",CA12,inhibitor
"1,2-Dihydroxybenzene",CA2,inhibitor
"1,2-Dihydroxybenzene",CA4,inhibitor
"1,2-diacyl-sn-glycero-3-phosphoinositol",PITPNA,unknown
"1,3,2-Dioxaborolan-2-Ol",PRSS3,unknown
"1,3-Propanediol",ARF1,unknown
"1,3-diphenylurea",EPHX2,inhibitor
"1,4-Butanediol",MAN1B1,unknown
"1,4-Butanediol",PLA2G2A,inhibitor
"1,4-Butanediol",PLA2G2E,unknown
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",ANXA5,unknown
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",FGF2,unknown
"1,4-Dioxane",EPN1,unknown
"1,4-Dioxane",TGFB3,unknown
"1,4-Dioxane",TNFSF13B,inhibitor
"1,4-Dithiothreitol",ALDH1A1,unknown
"1,4-Dithiothreitol",AXIN1,unknown
"1,4-Dithiothreitol",CAMK2A,unknown
"1,4-Dithiothreitol",GSTZ1,unknown
"1,4-Dithiothreitol",HMGCR,unknown
"1,4-Dithiothreitol",LGALS1,unknown
"1,4-Dithiothreitol",MSRA,unknown
"1,4-Dithiothreitol",PPIB,unknown
"1,4-Dithiothreitol",TPI1,unknown
"1,4-Dithiothreitol",TRPM7,unknown
"1,4-dithio-alpha-D-glucopyranose",AMY2B,unknown
"1,6-Fructose Diphosphate (Linear Form)",ALDOA,unknown
"1,6-Fructose Diphosphate (Linear Form)",ALDOB,unknown
"1,8-Di-Hydroxy-4-Nitro-Anthraquinone",CSNK2A1,unknown
"1,8-Di-Hydroxy-4-Nitro-Xanthen-9-One",CSNK2A1,unknown
1-(1-phenylcyclopentyl)methylamine,DPP4,inhibitor
"1-(2,2'-bithiophen-5-yl)methanamine",LTA4H,inhibitor
1-(4-thiophen-2-ylphenyl)methanamine,LTA4H,inhibitor
1-(biphenyl-4-ylmethyl)-1H-imidazole,CYP2B6,unknown
"1-Beta-Ribofuranosyl-1,3-Diazepinone",CDA,unknown
1-Deaza-Adenosine,ADA,inhibitor
1-Deoxy-1-Thio-Heptaethylene Glycol,ACHE,inhibitor
1-Dodecanol,FAAH,unknown
"1-Ethyl-Pyrrolidine-2,5-Dione",ERO1B,unknown
"1-Ethyl-Pyrrolidine-2,5-Dione",NSF,unknown
1-Guanidinium-7-Aminoheptane,DHPS,inhibitor
1-Hydroxy-1-Thio-Glycerol,PREP,inhibitor
1-Hydroxy-2-Amino-3-Cyclohexylpropane,REN,inhibitor
1-Hydroxyamine-2-Isobutylmalonic Acid,MMP8,inhibitor
"1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine",REN,inhibitor
1-Methylhistidine,ACTA1,unknown
1-Methylimidazole,MB,unknown
1-Testosterone,AR,agonist
1-[4-(hydroxymethyl)phenyl]guanidine,PRSS8,unknown
1-benzylimidazole,CYP11B1,inhibitor
1-benzylimidazole,QPCT,unknown
1-biphenyl-2-ylmethanamine,DPP4,inhibitor
1-deoxymannojirimycin,MAN2A1,unknown
1-hydroxy-2-isopropylguanidine,NOS1,inhibitor
1-naphthaleneacetic acid,SKP1,unknown
"10-Propargyl-5,8-Dideazafolic Acid",DHRS4L1,unknown
"10-Propargyl-5,8-Dideazafolic Acid",NQO2,inhibitor
"10-Propargyl-5,8-Dideazafolic Acid",TYMS,unknown
"10-formyl-5,8,10-trideazafolic acid",GART,inhibitor
10-hydroxycamptothecin,TOP1,inhibitor
12-Bromododecanoic Acid,PAEP,unknown
12-Hydroxydodecanoic Acid,ADH5,unknown
12-Phenylheme,HMOX1,unknown
13-Acetylphorbol,PRKCD,inhibitor
13-deoxydoxorubicin,TOP2A,unknown
"16,17-Androstene-3-Ol",NR1I3,antagonist
16-Bromoepiandrosterone,AR,inhibitor
16-Bromoepiandrosterone,G6PD,unknown
17alpha-Estriol,ESR2,unknown
17alpha-Estriol,NCOA5,unknown
18-methoxycoronaridine,CHRNA2,antagonist
