drug_id,drug_name,target_name,gene_symbol,organism
DB00001,Lepirudin,Prothrombin,F2,Humans
DB00002,Cetuximab,Epidermal growth factor receptor,EGFR,Humans
DB00002,Cetuximab,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
DB00002,Cetuximab,Complement C1q subcomponent subunit A,C1QA,Humans
DB00002,Cetuximab,Complement C1q subcomponent subunit B,C1QB,Humans
DB00002,Cetuximab,Complement C1q subcomponent subunit C,C1QC,Humans
DB00002,Cetuximab,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
DB00002,Cetuximab,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
DB00002,Cetuximab,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
DB00003,Dornase alfa,Deoxyribonuclease-1,DNASE1,Humans
DB00004,Denileukin diftitox,Interleukin-2 receptor subunit alpha,IL2RA,Humans
DB00004,Denileukin diftitox,Interleukin-2 receptor subunit beta,IL2RB,Humans
DB00005,Etanercept,Tumor necrosis factor,TNF,Humans
DB00005,Etanercept,Lymphotoxin-alpha,LTA,Humans
DB00005,Etanercept,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
DB00005,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
DB00005,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
DB00005,Etanercept,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Humans
DB00005,Etanercept,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
DB00005,Etanercept,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
DB00005,Etanercept,Complement component 1q (C1q),C1QC,Humans
DB00006,Bivalirudin,Prothrombin,F2,Humans
DB00007,Leuprolide,Gonadotropin-releasing hormone receptor,GNRHR,Humans
DB00007,Leuprolide,Progonadoliberin-1,GNRH1,Humans
DB00008,Peginterferon alfa-2a,Interferon alpha/beta receptor 2,IFNAR2,Humans
DB00008,Peginterferon alfa-2a,Interferon alpha/beta receptor 1,IFNAR1,Humans
DB00008,Peginterferon alfa-2a,Interferon alpha-2,IFNA2,Humans
DB00009,Alteplase,Plasminogen,PLG,Humans
DB00009,Alteplase,Fibrinogen alpha chain,FGA,Humans
DB00009,Alteplase,Fibrinogen gamma chain,FGG,Humans
DB00009,Alteplase,Plasminogen activator inhibitor 1,SERPINE1,Humans
DB00010,Sermorelin,Growth hormone-releasing hormone receptor,GHRHR,Humans
DB00011,Interferon alfa-n1,Interferon alpha/beta receptor 1,IFNAR1,Humans
DB00011,Interferon alfa-n1,Interferon alpha/beta receptor 2,IFNAR2,Humans
DB00012,Darbepoetin alfa,Erythropoietin receptor,EPOR,Humans
DB00013,Urokinase,Plasminogen,PLG,Humans
DB00013,Urokinase,Urokinase plasminogen activator surface receptor,PLAUR,Humans
DB00013,Urokinase,Plasminogen activator inhibitor 1,SERPINE1,Humans
DB00013,Urokinase,Plasminogen activator inhibitor 2,SERPINB2,Humans
DB00013,Urokinase,Urokinase-type plasminogen activator,PLAU,Humans
DB00013,Urokinase,Plasma serine protease inhibitor,SERPINA5,Humans
DB00013,Urokinase,Low-density lipoprotein receptor-related protein 2,LRP2,Humans
DB00013,Urokinase,Suppressor of tumorigenicity 14 protein,ST14,Humans
DB00013,Urokinase,Nidogen-1,NID1,Humans
DB00014,Goserelin,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
DB00014,Goserelin,Gonadotropin-releasing hormone receptor,GNRHR,Humans
DB00014,Goserelin,Progonadoliberin-1,GNRH1,Humans
DB00015,Reteplase,Plasminogen,PLG,Humans
DB00015,Reteplase,Fibrinogen alpha chain,FGA,Humans
DB00015,Reteplase,Plasminogen activator inhibitor 1,SERPINE1,Humans
DB00016,Erythropoietin,Erythropoietin receptor,EPOR,Humans
DB00017,Salmon calcitonin,Calcitonin receptor,CALCR,Humans
DB00018,Interferon alfa-n3,Interferon alpha/beta receptor 1,IFNAR1,Humans
DB00018,Interferon alfa-n3,Interferon alpha/beta receptor 2,IFNAR2,Humans
DB00019,Pegfilgrastim,Granulocyte colony-stimulating factor receptor,CSF3R,Humans
DB00020,Sargramostim,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2RA,Humans
DB00020,Sargramostim,Interleukin-3 receptor subunit alpha,IL3RA,Humans
DB00020,Sargramostim,Cytokine receptor common subunit beta,CSF2RB,Humans
DB00020,Sargramostim,Syndecan-2,SDC2,Humans
DB00022,Peginterferon alfa-2b,Interferon alpha/beta receptor 1,IFNAR1,Humans
DB00022,Peginterferon alfa-2b,Interferon alpha/beta receptor 2,IFNAR2,Humans
DB00022,Peginterferon alfa-2b,Interferon alpha-2,IFNA2,Humans
DB00023,Asparaginase Escherichia coli,L-asparagine,,Humans
DB00024,Thyrotropin alfa,Thyrotropin receptor,TSHR,Humans
DB00025,"Antihemophilic factor, human recombinant",Coagulation factor X,F10,Humans
DB00025,"Antihemophilic factor, human recombinant",Coagulation factor IX,F9,Humans
DB00025,"Antihemophilic factor, human recombinant",von Willebrand factor,VWF,Humans
DB00025,"Antihemophilic factor, human recombinant","Phytanoyl-CoA dioxygenase, peroxisomal",PHYH,Humans
DB00025,"Antihemophilic factor, human recombinant",Asialoglycoprotein receptor 2,ASGR2,Humans
DB00025,"Antihemophilic factor, human recombinant",Endoplasmic reticulum chaperone BiP,HSPA5,Humans
DB00025,"Antihemophilic factor, human recombinant",Calreticulin,CALR,Humans
DB00025,"Antihemophilic factor, human recombinant",Calnexin,CANX,Humans
DB00025,"Antihemophilic factor, human recombinant",Protein ERGIC-53,LMAN1,Humans
DB00025,"Antihemophilic factor, human recombinant",Prolow-density lipoprotein receptor-related protein 1,LRP1,Humans
DB00025,"Antihemophilic factor, human recombinant",Multiple coagulation factor deficiency protein 2,MCFD2,Humans
DB00026,Anakinra,Interleukin-1 receptor type 1,IL1R1,Humans
DB00027,Gramicidin D,Dihydropteroate synthase,folP,Escherichia coli (strain K12)
DB00028,Human immunoglobulin G,High affinity immunoglobulin gamma Fc receptor I,FCGR1A,Humans
DB00028,Human immunoglobulin G,Putative high affinity immunoglobulin gamma Fc receptor IB,FCGR1BP,Humans
DB00028,Human immunoglobulin G,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,Humans
DB00028,Human immunoglobulin G,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,Humans
DB00028,Human immunoglobulin G,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,Humans
DB00028,Human immunoglobulin G,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,Humans
DB00028,Human immunoglobulin G,Low affinity immunoglobulin gamma Fc region receptor III-B,FCGR3B,Humans
DB00028,Human immunoglobulin G,Complement C3,C3,Humans
DB00028,Human immunoglobulin G,Complement C4-A,C4A,Humans
DB00028,Human immunoglobulin G,Complement C4-B,C4B,Humans
DB00028,Human immunoglobulin G,Complement C5,C5,Humans
DB00029,Anistreplase,Plasminogen,PLG,Humans
DB00029,Anistreplase,Fibrinogen alpha chain,FGA,Humans
DB00029,Anistreplase,Plasminogen activator inhibitor 1,SERPINE1,Humans
DB00030,Insulin human,Insulin receptor,INSR,Humans
DB00030,Insulin human,Insulin-like growth factor 1 receptor,IGF1R,Humans
DB00030,Insulin human,Carboxypeptidase E,CPE,Humans
DB00030,Insulin human,CCN family member 3,CCN3,Humans
DB00030,Insulin human,Low-density lipoprotein receptor-related protein 2,LRP2,Humans
DB00030,Insulin human,Insulin-like growth factor-binding protein 7,IGFBP7,Humans
DB00031,Tenecteplase,Plasminogen,PLG,Humans
DB00032,Menotropins,Follicle-stimulating hormone receptor,FSHR,Humans
DB00032,Menotropins,Lutropin-choriogonadotropic hormone receptor,LHCGR,Humans
DB00033,Interferon gamma-1b,Interferon gamma receptor 1,IFNGR1,Humans
DB00033,Interferon gamma-1b,Interferon gamma receptor 2,IFNGR2,Humans
DB00034,Interferon alfa-2a,Interferon alpha/beta receptor 1,IFNAR1,Humans
DB00034,Interferon alfa-2a,Interferon alpha/beta receptor 2,IFNAR2,Humans
DB00035,Desmopressin,Vasopressin V2 receptor,AVPR2,Humans
DB00035,Desmopressin,Vasopressin V1a receptor,AVPR1A,Humans
DB00035,Desmopressin,Vasopressin V1b receptor,AVPR1B,Humans
DB00035,Desmopressin,Oxytocin receptor,OXTR,Humans
DB00036,Coagulation factor VIIa Recombinant Human,Coagulation factor X,F10,Humans
DB00036,Coagulation factor VIIa Recombinant Human,Tissue factor,F3,Humans
DB00038,Oprelvekin,Interleukin-11 receptor subunit alpha,IL11RA,Humans
DB00039,Palifermin,Fibroblast growth factor receptor 2,FGFR2,Humans
DB00039,Palifermin,Fibroblast growth factor receptor 1,FGFR1,Humans
DB00039,Palifermin,Basement membrane-specific heparan sulfate proteoglycan core protein,HSPG2,Humans
DB00040,Glucagon,Glucagon receptor,GCGR,Humans
DB00040,Glucagon,Glucagon-like peptide 2 receptor,GLP2R,Humans
DB00040,Glucagon,Glucagon-like peptide 1 receptor,GLP1R,Humans
DB00041,Aldesleukin,Interleukin-2 receptor subunit beta,IL2RB,Humans
DB00041,Aldesleukin,Interleukin-2 receptor subunit alpha,IL2RA,Humans
DB00041,Aldesleukin,Cytokine receptor common subunit gamma,IL2RG,Humans
DB00041,Aldesleukin,Interleukin-2,IL2,Humans
DB00042,Botulinum toxin type B,Vesicle-associated membrane protein 2,VAMP2,Humans
DB00042,Botulinum toxin type B,Vesicle-associated membrane protein 1,VAMP1,Humans
DB00042,Botulinum toxin type B,Synaptotagmin-2,SYT2,Humans
DB00043,Omalizumab,Immunoglobulin heavy constant epsilon,IGHE,Humans
