gene1,gene2,weight
A1BG,A2M,0.692
A1BG,AFM,0.544
A1BG,AHSG,0.849
A1BG,ALB,0.622
A1BG,ALDOA,0.448
A1BG,AMBP,0.716
A1BG,APCS,0.46
A1BG,APOA1,0.509
A1BG,APOA2,0.434
A1BG,APOA4,0.465
A1BG,APOH,0.525
A1BG,ARHGAP32,0.511
A1BG,AZGP1,0.535
A1BG,C1R,0.457
A1BG,C1S,0.503
A1BG,C3,0.43
A1BG,C9,0.442
A1BG,CEACAM6,0.575
A1BG,CFB,0.529
A1BG,CFD,0.521
A1BG,CLU,0.435
A1BG,COL6A1,0.405
A1BG,CP,0.516
A1BG,CRISP3,0.941
A1BG,CRK,0.745
A1BG,CRKL,0.553
A1BG,EGFR,0.495
A1BG,ERBB2,0.479
A1BG,FGA,0.578
A1BG,FGB,0.599
A1BG,FGG,0.456
A1BG,FN1,0.513
A1BG,FRS2,0.562
A1BG,GAB1,0.401
A1BG,GAB2,0.856
A1BG,GAB3,0.821
A1BG,GC,0.622
A1BG,GDPD1,0.46
A1BG,GRB2,0.992
A1BG,GSN,0.416
A1BG,GZMB,0.478
A1BG,HP,0.628
A1BG,HPX,0.632
A1BG,HRG,0.496
A1BG,INPP5D,0.42
A1BG,INPPL1,0.403
A1BG,ITIH1,0.493
A1BG,ITIH2,0.491
A1BG,ITIH3,0.484
A1BG,ITIH4,0.588
A1BG,KCMF1,0.42
A1BG,KNG1,0.417
A1BG,LRG1,0.524
A1BG,MSMB,0.407
A1BG,MST1R,0.418
A1BG,NLRP5,0.481
A1BG,ORM1,0.592
A1BG,ORM2,0.549
A1BG,PIK3R1,0.431
A1BG,PTPN11,0.94
A1BG,RBP4,0.428
A1BG,SERPINA1,0.735
A1BG,SERPINA3,0.663
A1BG,SERPINC1,0.524
A1BG,SHC1,0.607
A1BG,STAT5A,0.557
A1BG,STAT5B,0.561
A1BG,TF,0.682
A1BG,TTR,0.531
A1CF,ALDOB,0.438
A1CF,APOB,0.856
A1CF,APOBEC1,0.998
A1CF,APOBEC2,0.748
A1CF,APOBEC3A,0.713
A1CF,APOBEC3B,0.624
A1CF,APOBEC3C,0.695
A1CF,APOBEC3F,0.843
A1CF,APOBEC3G,0.823
A1CF,APOBEC3H,0.713
A1CF,APOBEC4,0.77
A1CF,APOH,0.432
A1CF,B3GNT4,0.568
A1CF,CBLL1,0.54
A1CF,CDA,0.706
A1CF,CELF2,0.457
A1CF,CLMN,0.409
A1CF,FABP1,0.478
A1CF,FAU,0.598
A1CF,HNF1A,0.474
A1CF,HNF4A,0.525
A1CF,HNF4G,0.622
A1CF,HNRNPAB,0.652
A1CF,HNRNPK,0.503
A1CF,INHBB,0.447
A1CF,INHBC,0.49
A1CF,KBTBD2,0.444
A1CF,KHSRP,0.417
A1CF,METTL14,0.555
A1CF,METTL3,0.559
A1CF,NR1H4,0.402
A1CF,PDZK1,0.491
A1CF,PSMG2,0.596
A1CF,PSMG3,0.468
A1CF,RBM15,0.568
A1CF,RBM15B,0.584
A1CF,RBM41,0.472
A1CF,RPS6,0.425
A1CF,SFMBT1,0.446
A1CF,SLC16A9,0.483
A1CF,SLC17A1,0.585
A1CF,SLC17A4,0.535
A1CF,SLC22A11,0.498
A1CF,SLC22A12,0.435
A1CF,SLC2A2,0.401
A1CF,SLC2A9,0.511
A1CF,SYNCRIP,0.779
A1CF,TM4SF5,0.578
A1CF,TMEM171,0.567
A1CF,TRIM46,0.516
A1CF,UBE2Q2,0.519
A1CF,VIRMA,0.551
A1CF,WTAP,0.541
A1CF,ZC3H13,0.554
A2M,AARSD1,0.452
A2M,ABCA2,0.443
A2M,ABCA7,0.489
A2M,ACAN,0.582
A2M,ACP5,0.452
A2M,ACTG1,0.434
A2M,ACTN4,0.448
A2M,ADAM10,0.497
A2M,ADAM19,0.441
A2M,ADAMTS1,0.428
A2M,ADAMTS12,0.46
A2M,ADAMTS7,0.664
A2M,AFM,0.478
