drug_name,pkl_file,status,n_targets,n_failed_targets,nodes,edges,error
Allopurinol,allopurinol.pkl,ok,1,0,16201,236930,
Amlodipine,amlodipine.pkl,ok,1,0,16201,236930,
Anastrozole,anastrozole.pkl,ok,1,0,16201,236930,
Atorvastatin,atorvastatin.pkl,ok,1,0,16201,236930,
Axitinib,axitinib.pkl,ok,1,0,16201,236930,
Bexarotene,bexarotene.pkl,ok,1,0,16201,236930,
Bortezomib,bortezomib.pkl,ok,1,0,16201,236930,
Celecoxib,celecoxib.pkl,ok,1,0,16201,236930,
Cisplatin,cisplatin.pkl,ok,1,0,16201,236930,
Crizotinib,crizotinib.pkl,ok,1,0,16201,236930,
Cyclophosphamide,cyclophosphamide.pkl,ok,1,0,16201,236930,
Dasatinib,dasatinib.pkl,ok,1,0,16201,236930,
Diclofenac,diclofenac.pkl,ok,1,0,16201,236930,
Donepezil,donepezil.pkl,ok,1,0,16201,236930,
Erlotinib,erlotinib.pkl,ok,1,0,16201,236930,
Etoposide,etoposide.pkl,ok,1,0,16201,236930,
Fluoxetine,fluoxetine.pkl,ok,1,0,16201,236930,
Galantamine,galantamine.pkl,ok,1,0,16201,236930,
Gefitinib,gefitinib.pkl,ok,1,0,16201,236930,
Haloperidol,haloperidol.pkl,ok,1,0,16201,236930,
Ibuprofen,ibuprofen.pkl,ok,1,0,16201,236930,
Imatinib,imatinib.pkl,ok,1,0,16201,236930,
Lapatinib,lapatinib.pkl,ok,1,0,16201,236930,
Letrozole,letrozole.pkl,ok,1,0,16201,236930,
Levodopa,levodopa.pkl,ok,1,0,16201,236930,
Losartan,losartan.pkl,ok,1,0,16201,236930,
Memantine,memantine.pkl,ok,1,0,16201,236930,
Metformin,metformin.pkl,ok,1,0,16201,236930,
Methotrexate,methotrexate.pkl,ok,1,0,16201,236930,
Nilotinib,nilotinib.pkl,ok,1,0,16201,236930,
Olanzapine,olanzapine.pkl,ok,1,0,16201,236930,
Osimertinib,osimertinib.pkl,ok,1,0,16201,236930,
Paroxetine,paroxetine.pkl,ok,1,0,16201,236930,
Pazopanib,pazopanib.pkl,ok,1,0,16201,236930,
Pioglitazone,pioglitazone.pkl,ok,1,0,16201,236930,
Ponatinib,ponatinib.pkl,ok,1,0,16201,236930,
Propranolol,propranolol.pkl,ok,1,0,16201,236930,
Regorafenib,regorafenib.pkl,ok,1,0,16201,236930,
Riluzole,riluzole.pkl,ok,1,0,16201,236930,
Risperidone,risperidone.pkl,ok,1,0,16201,236930,
Rosuvastatin,rosuvastatin.pkl,ok,1,0,16201,236930,
Selegiline,selegiline.pkl,ok,1,0,16201,236930,
Sertraline,sertraline.pkl,ok,1,0,16201,236930,
Simvastatin,simvastatin.pkl,ok,1,0,16201,236930,
Sorafenib,sorafenib.pkl,ok,1,0,16201,236930,
Sunitinib,sunitinib.pkl,ok,1,0,16201,236930,
Tamoxifen,tamoxifen.pkl,ok,1,0,16201,236930,
Valsartan,valsartan.pkl,ok,1,0,16201,236930,
Vemurafenib,vemurafenib.pkl,ok,1,0,16201,236930,
Verapamil,verapamil.pkl,ok,1,0,16201,236930,
