gene1,gene2,weight
ARF5,ACAP1,825
ARF5,COPA,718
ARF5,RAB11FIP3,952
ARF5,COPB2,752
ARF5,COPE,795
ARF5,ARF3,756
ARF5,ARFGAP1,795
ARF5,RAB11FIP1,755
ARF5,CYTH1,765
ARF5,IQSEC1,835
ARF5,RAB11A,792
ARF5,ARFGAP2,785
ARF5,COPB1,846
ARF5,ARF4,888
ARF5,ASAP1,892
ARF5,RAB11FIP4,847
ARF5,GORAB,745
ARF5,ACAP2,815
ARF5,ARFGAP3,737
ARF5,ARFIP1,861
ARF5,ARF1,862
ARF5,CDKN2A,760
ARF5,GBF1,828
ARF5,ARFIP2,842
ARF5,AGAP1,702
ARF5,ASAP2,747
ARF5,COPZ1,705
M6PR,GGA3,993
M6PR,VTI1A,745
M6PR,TGOLN2,748
M6PR,GGA2,911
M6PR,GGA1,957
M6PR,IGF2R,991
M6PR,PLIN3,872
FKBP4,STIP1,979
FKBP4,NR3C2,945
FKBP4,FKBP5,972
FKBP4,SERPINB2,712
FKBP4,HSPA8,942
FKBP4,GLMN,983
FKBP4,HSF1,783
FKBP4,HSPA2,748
FKBP4,MTOR,961
FKBP4,AKT1,914
FKBP4,PTGES3,990
FKBP4,DNAJB1,957
FKBP4,PPID,937
FKBP4,HSP90AB1,999
FKBP4,HSPA4,998
FKBP4,CDC37L1,734
FKBP4,CDC37,859
FKBP4,NR3C1,996
FKBP4,HSP90AA1,999
FKBP4,PHYH,783
FKBP4,PGR,977
FKBP4,S100A1,742
FKBP4,AHSA1,973
FKBP4,DCTN2,761
FKBP4,PHLPP1,993
FKBP4,CLCA1,745
FKBP4,ADSL,849
FKBP4,HSPA1A,771
FKBP4,ESR1,893
FKBP4,AR,928
FKBP4,HSPA1B,806
FKBP4,CHUK,801
CYP26B1,CYP2C9,938
CYP26B1,CYP4A22,927
CYP26B1,CYP3A7,936
CYP26B1,CYP3A5,935
CYP26B1,CRABP1,750
CYP26B1,CYP2C8,940
CYP26B1,CYP2S1,941
CYP26B1,RDH10,751
CYP26B1,ALDH1A1,964
CYP26B1,CYP26A1,919
CYP26B1,CYP26C1,922
CYP26B1,ENSP00000480571,932
CYP26B1,CYP1A2,945
CYP26B1,CYP3A4,939
CYP26B1,CYP1A1,943
CYP26B1,AOX1,921
CYP26B1,CYP2C18,937
CYP26B1,CYP2A6,936
CYP26B1,UGT2B7,714
CYP26B1,CYP2B6,936
CYP26B1,CYP4A11,926
CYP26B1,UGT2A2,702
CYP26B1,STRA8,934
CYP26B1,ALDH1A3,973
CYP26B1,ALDH1A2,988
CYP26B1,NANOS2,956
CYP26B1,UGT1A6,706
NDUFAF7,NDUFAF3,732
NDUFAF7,NDUFAF6,841
NDUFAF7,NDUFA7,740
NDUFAF7,NDUFS3,735
NDUFAF7,NDUFS2,947
NDUFAF7,TIMMDC1,719
NDUFAF7,NDUFA10,721
NDUFAF7,NDUFS8,791
NDUFAF7,NDUFAF4,740
NDUFAF7,NDUFS7,813
NDUFAF7,NDUFAF1,799
NDUFAF7,TMEM126B,820
NDUFAF7,NDUFAF5,920
NDUFAF7,NUBPL,790
NDUFAF7,NDUFAF2,790
NDUFAF7,NDUFB5,708
NDUFAF7,NDUFA13,702
NDUFAF7,ATP5F1C,825
NDUFAF7,ACAD9,746
NDUFAF7,ECSIT,760
NDUFAF7,TMEM186,714
NDUFAF7,NDUFA5,705
FUCA2,FUCA1,928
FUCA2,GLB1,752
HS3ST1,HS2ST1,877
HS3ST1,SULT1C3,847
HS3ST1,UST,791
HS3ST1,GLCE,736
HS3ST1,SULT1B1,845
HS3ST1,SULT1C4,845
HS3ST1,HS6ST1,754
SEMA3F,PLXNA4,842
SEMA3F,PLXNA1,992
SEMA3F,NRCAM,750
SEMA3F,NRP1,999
SEMA3F,PLXND1,732
SEMA3F,NRP2,999
SEMA3F,PLXNA3,999
CFTR,PRKACG,976
CFTR,RNF5,979
CFTR,CANX,936
CFTR,PRSS1,854
CFTR,GOPC,992
CFTR,CLCA2,829
CFTR,SCNN1B,895
CFTR,PDZD3,882
CFTR,SLC26A9,910
CFTR,SLC26A4,767
CFTR,HSPB1,780
CFTR,YWHAB,944
CFTR,PRKAG3,901
CFTR,DERL1,917
CFTR,TJP1,964
CFTR,PRKACA,982
CFTR,RNF185,738
CFTR,SLC26A8,725
CFTR,CTRC,774
CFTR,PRSS2,707
CFTR,SLC26A3,888
CFTR,DNAJB1,825
CFTR,KRT8,752
CFTR,SLC12A2,816
CFTR,PRKAG1,922
CFTR,SCNN1G,886
CFTR,CLCA4,747
CFTR,DAB2,742
CFTR,GUCY2C,825
CFTR,PRKAB2,944
CFTR,SLC26A5,714
CFTR,HSPA8,986
CFTR,ABCG2,733
CFTR,GUCA2B,769
CFTR,SLC9A3R2,975
CFTR,AHSA1,867
CFTR,BCAP31,808
CFTR,PRKAB1,908
CFTR,HSP90AA1,986
CFTR,KCNJ1,925
CFTR,GUCA2A,805
CFTR,FLNA,957
CFTR,PRKAG2,905
CFTR,YWHAG,914
CFTR,ANO1,882
CFTR,SCNN1A,821
CFTR,PRKAA1,953
CFTR,PRKACB,976
CFTR,HSPA4,925
CFTR,VCP,938
CFTR,RAB11A,709
CFTR,HSP90AB1,964
CFTR,PRKAA2,907
CFTR,SPINK1,888
CFTR,AMFR,734
CFTR,RHOQ,721
CFTR,SLC26A6,921
CFTR,PDZK1,969
CFTR,NEDD4L,764
CFTR,USP10,935
CFTR,GORASP2,721
CFTR,DNAJA1,849
CFTR,EZR,898
CFTR,KRT18,702
CFTR,YWHAZ,917
CFTR,RFLNB,707
CFTR,ACTB,717
CFTR,HDAC6,848
CFTR,SLC9A3R1,999
CFTR,CLCA1,838
CFTR,SLC9A3,828
