disease,drug_name,score
Alzheimer disease,Adalimumab,3
Alzheimer disease,Alteplase,3
Alzheimer disease,Anistreplase,3
Alzheimer disease,Becaplermin,3
Alzheimer disease,Etanercept,3
Alzheimer disease,Human immunoglobulin G,3
Alzheimer disease,Infliximab,3
Alzheimer disease,Insulin glargine,3
Alzheimer disease,Reteplase,3
Alzheimer disease,Urokinase,3
Alzheimer disease,Abciximab,2
Alzheimer disease,"Antihemophilic factor, human recombinant",2
Alzheimer disease,Antithymocyte immunoglobulin (rabbit),2
Alzheimer disease,Bevacizumab,2
Alzheimer disease,Cetuximab,2
Alzheimer disease,Coagulation Factor IX (Recombinant),2
Alzheimer disease,Daclizumab,2
Alzheimer disease,Gemtuzumab ozogamicin,2
Alzheimer disease,Insulin human,2
Alzheimer disease,Palifermin,2
Alzheimer disease,Palivizumab,2
Alzheimer disease,Pegademase,2
Alzheimer disease,Alemtuzumab,1
Alzheimer disease,Botulinum toxin type B,1
Alzheimer disease,Cyclosporine,1
Alzheimer disease,Drotrecogin alfa,1
Alzheimer disease,Hyaluronidase (ovine),1
Alzheimer disease,Natalizumab,1
Alzheimer disease,Sargramostim,1
Alzheimer disease,Tositumomab,1
Asthma,Aldesleukin,5
Asthma,Antithymocyte immunoglobulin (rabbit),5
Asthma,Adalimumab,4
Asthma,Basiliximab,4
Asthma,Daclizumab,4
Asthma,Denileukin diftitox,4
Asthma,Etanercept,4
Asthma,Infliximab,4
Asthma,Interferon alfa-2b,4
Asthma,Interferon beta-1a,4
Asthma,Interferon gamma-1b,4
Asthma,Peginterferon alfa-2a,4
Asthma,Peginterferon alfa-2b,4
Asthma,Anakinra,3
Asthma,Cetuximab,3
Asthma,Interferon alfa-2a,3
Asthma,Interferon alfa-n1,3
Asthma,Interferon alfa-n3,3
Asthma,Interferon alfacon-1,3
Asthma,Interferon beta-1b,3
Asthma,Sargramostim,3
Asthma,Becaplermin,2
Asthma,Darbepoetin alfa,2
Asthma,Erythropoietin,2
Asthma,Filgrastim,2
Asthma,Lyme disease vaccine (recombinant OspA),2
Asthma,Pegfilgrastim,2
Asthma,Desmopressin,1
Asthma,Efalizumab,1
Asthma,Hyaluronidase (ovine),1
Asthma,Natalizumab,1
Asthma,Oprelvekin,1
Asthma,Oxytocin,1
Asthma,Pegademase,1
Asthma,Pegvisomant,1
Asthma,Somatotropin,1
Asthma,Streptokinase,1
Asthma,Trastuzumab,1
Asthma,Urokinase,1
Asthma,Vasopressin,1
Breast cancer,Cetuximab,6
Breast cancer,Trastuzumab,6
Breast cancer,Insulin glargine,5
Breast cancer,Pegademase,5
Breast cancer,Antithymocyte immunoglobulin (rabbit),4
Breast cancer,Etanercept,4
Breast cancer,Insulin human,4
Breast cancer,Insulin lispro,4
Breast cancer,Insulin pork,4
Breast cancer,Natalizumab,4
Breast cancer,Palifermin,4
Breast cancer,"Antihemophilic factor, human recombinant",3
Breast cancer,Becaplermin,3
Breast cancer,Adalimumab,2
Breast cancer,Alemtuzumab,2
Breast cancer,Bevacizumab,2
Breast cancer,Daclizumab,2
Breast cancer,Gemtuzumab ozogamicin,2
Breast cancer,Goserelin,2
Breast cancer,Human immunoglobulin G,2
Breast cancer,Hyaluronidase (ovine),2
Breast cancer,Infliximab,2
Breast cancer,Leuprolide,2
Breast cancer,Palivizumab,2
Breast cancer,Abciximab,1
Breast cancer,Aldesleukin,1
Breast cancer,Alefacept,1
Breast cancer,Botulinum toxin type A,1
Breast cancer,Capromab pendetide,1
Breast cancer,Choriogonadotropin alfa,1
Breast cancer,Cyclosporine,1
Breast cancer,Desmopressin,1
Breast cancer,Eptifibatide,1
Breast cancer,Follitropin,1
Breast cancer,Interferon beta-1a,1
Breast cancer,Interferon gamma-1b,1
Breast cancer,Lutropin alfa,1
Breast cancer,Lyme disease vaccine (recombinant OspA),1
Breast cancer,Menotropins,1
Breast cancer,Muromonab,1
Breast cancer,Omalizumab,1
Breast cancer,Oxytocin,1
Breast cancer,Urofollitropin,1
Breast cancer,Vasopressin,1
Parkinson disease,"Antihemophilic factor, human recombinant",1
Parkinson disease,Botulinum toxin type A,1
Parkinson disease,Botulinum toxin type B,1
Parkinson disease,Cetuximab,1
Parkinson disease,Insulin glargine,1
Parkinson disease,Lyme disease vaccine (recombinant OspA),1
Type 2 diabetes mellitus,Insulin glargine,7
Type 2 diabetes mellitus,Cetuximab,2
Type 2 diabetes mellitus,Insulin human,2
Type 2 diabetes mellitus,Insulin lispro,2
Type 2 diabetes mellitus,Insulin pork,2
Type 2 diabetes mellitus,Adalimumab,1
Type 2 diabetes mellitus,Alteplase,1
Type 2 diabetes mellitus,Anistreplase,1
Type 2 diabetes mellitus,Drotrecogin alfa,1
Type 2 diabetes mellitus,Etanercept,1
Type 2 diabetes mellitus,Glucagon,1
Type 2 diabetes mellitus,Hyaluronidase (ovine),1
Type 2 diabetes mellitus,Infliximab,1
Type 2 diabetes mellitus,Pegademase,1
Type 2 diabetes mellitus,Reteplase,1
Type 2 diabetes mellitus,Trastuzumab,1
Type 2 diabetes mellitus,Urokinase,1
